"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"14209","神奈川県","","","相模原市","さがみはらし","2003-04-01","相模原市(14209)が中核市に移行"
"14209","神奈川県","","","相模原市","さがみはらし","2006-03-20","津久井町(14422)、相模湖町(14423)が相模原市(14209)に編入"
"14209","神奈川県","","","相模原市","さがみはらし","2007-03-11","藤野町(14424)が相模原市(14209)に編入"
"14209","神奈川県","","","相模原市","さがみはらし","2007-03-11","城山町(14421)が相模原市(14209)に編入
津久井郡(14420)の廃止"
"14209","神奈川県","","","相模原市","さがみはらし","2010-04-01","相模原市(14209)の相模原市(14150)への政令指定都市移行
緑区(14151)、中央区(14152)、南区(14153)の新設"
"14212","神奈川県","","","厚木市","あつぎし","2002-04-01","厚木市(14212)が特例市に移行"
"14213","神奈川県","","","大和市","やまとし","2000-11-01","大和市(14213)が特例市に移行"
"14214","神奈川県","","","伊勢原市","いせはらし","1971-03-01","伊勢原町(14343)が伊勢原市(14214)に市制施行"
"14215","神奈川県","","","海老名市","えびなし","1971-11-01","海老名町(14322)が海老名市(14215)に市制施行"
"14216","神奈川県","","","座間市","ざまし","1971-11-01","座間町(14323)が座間市(14216)に市制施行"
"14217","神奈川県","","","南足柄市","みなみあしがらし","1972-04-01","南足柄町(14365)が南足柄市(14217)に市制施行"
"14218","神奈川県","","","綾瀬市","あやせし","1978-11-01","綾瀬町(14324)が綾瀬市(14218)に市制施行"
"14322","神奈川県","高座郡","こうざぐん","海老名町","えびなまち","1971-11-01","海老名町(14322)が海老名市(14215)に市制施行"
"14323","神奈川県","高座郡","こうざぐん","座間町","ざままち","1971-11-01","座間町(14323)が座間市(14216)に市制施行"
"14324","神奈川県","高座郡","こうざぐん","綾瀬町","あやせまち","1978-11-01","綾瀬町(14324)が綾瀬市(14218)に市制施行"
"14343","神奈川県","中郡","なかぐん","伊勢原町","いせはらまち","1971-03-01","伊勢原町(14343)が伊勢原市(14214)に市制施行"
"14365","神奈川県","足柄上郡","あしがらかみぐん","南足柄町","みなみあしがらまち","1972-04-01","南足柄町(14365)が南足柄市(14217)に市制施行"
"14381","神奈川県","足柄下郡","あしがらしもぐん","橘町","たちばなまち","1971-04-01","橘町(14381)が小田原市(14206)に編入"
"14421","神奈川県","津久井郡","つくいぐん","城山町","しろやままち","2007-03-11","城山町(14421)が相模原市(14209)に編入
津久井郡(14420)の廃止"
"14422","神奈川県","津久井郡","つくいぐん","津久井町","つくいまち","2006-03-20","津久井町(14422)、相模湖町(14423)が相模原市(14209)に編入"
"14423","神奈川県","津久井郡","つくいぐん","相模湖町","さがみこまち","2006-03-20","津久井町(14422)、相模湖町(14423)が相模原市(14209)に編入"
"14424","神奈川県","津久井郡","つくいぐん","藤野町","ふじのまち","2007-03-11","藤野町(14424)が相模原市(14209)に編入"
"15100","新潟県","新潟市","にいがたし","","","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15101","新潟県","新潟市","にいがたし","北区","きたく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15102","新潟県","新潟市","にいがたし","東区","ひがしく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15103","新潟県","新潟市","にいがたし","中央区","ちゅうおうく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15104","新潟県","新潟市","にいがたし","江南区","こうなんく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15105","新潟県","新潟市","にいがたし","秋葉区","あきはく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15106","新潟県","新潟市","にいがたし","南区","みなみく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15107","新潟県","新潟市","にいがたし","西区","にしく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15108","新潟県","新潟市","にいがたし","西蒲区","にしかんく","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15201","新潟県","","","新潟市","にいがたし","1996-04-01","新潟市(15201)が中核市に移行"
"15201","新潟県","","","新潟市","にいがたし","2001-01-01","黒埼町(15347)が新潟市(15201)に編入"
"15201","新潟県","","","新潟市","にいがたし","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15201","新潟県","","","新潟市","にいがたし","2005-03-21","新津市(15207)が新潟市(15201)に編入"
"15201","新潟県","","","新潟市","にいがたし","2005-10-10","巻町(15345)が新潟市(15201)に編入"
"15201","新潟県","","","新潟市","にいがたし","2007-04-01","新潟市(15201)の新潟市(15100)への政令指定都市施行
北区(15101)、東区(15102)、中央区(15103)、江南区(15104)、秋葉区(15105)、南区(15106)、西区(15107)、西蒲区(15108)の新設"
"15202","新潟県","","","長岡市","ながおかし","2005-04-01","中之島町(15364)、越路町(15401)、三島町(15402)、山古志村(15421)、小国町(15502)が長岡市(15202)に編入
古志郡(15420)の廃止"
"15202","新潟県","","","長岡市","ながおかし","2006-01-01","和島村(15404)が長岡市(15202)に編入"
"15202","新潟県","","","長岡市","ながおかし","2006-01-01","与板町(15403)が長岡市(15202)に編入"
"15202","新潟県","","","長岡市","ながおかし","2006-01-01","栃尾市(15215)が長岡市(15202)に編入"
"15202","新潟県","","","長岡市","ながおかし","2006-01-01","寺泊町(15406)が長岡市(15202)に編入"
"15202","新潟県","","","長岡市","ながおかし","2007-04-01","長岡市(15202)が特例市に移行"
"15202","新潟県","","","長岡市","ながおかし","2010-03-31","川口町(15441)が長岡市(15202)に編入
北魚沼郡(15440)の廃止"
"15203","新潟県","","","高田市","たかだし","1971-04-29","高田市(15203)、直江津市(15214)が合併し、上越市(15222)を新設"
"15204","新潟県","","","三条市","さんじょうし","2005-05-01","三条市(15204)、下田村(15362)、栄町(15363)が合併し、三条市を新設"
"15205","新潟県","","","柏崎市","かしわざきし","1971-05-01","北条町(15503)が柏崎市(15205)に編入"
"15205","新潟県","","","柏崎市","かしわざきし","2005-05-01","高柳町(15501)、西山町(15505)が柏崎市(15205)に編入"
"15206","新潟県","","","新発田市","しばたし","2003-07-07","豊浦町(15306)が新発田市(15206)に編入"
"15206","新潟県","","","新発田市","しばたし","2005-05-01","加治川村(15308)、紫雲寺町(15309)が新発田市(15206)に編入"
"15207","新潟県","","","新津市","にいつし","2005-03-21","新津市(15207)が新潟市(15201)に編入"
"15210","新潟県","","","十日町市","とおかまちし","2005-04-01","十日町市(15210)、川西町(15481)、中里村(15483)、松代町(15523)、松之山町(15524)が合併し、十日町市を新設
東頸城郡(15520)の廃止"
"15212","新潟県","","","村上市","むらかみし","2008-04-01","村上市(15212)、荒川町(15582)、神林村(15583)、朝日村(15584)、山北町(15585)が合併し、村上市を新設"
"15213","新潟県","","","燕市","つばめし","2006-03-20","燕市(15213)、分水町(15343)、吉田町(15344)が合併し、燕市を新設"
"15214","新潟県","","","直江津市","なおえつし","1971-04-29","高田市(15203)、直江津市(15214)が合併し、上越市(15222)を新設"
"15215","新潟県","","","栃尾市","とちおし","2006-01-01","栃尾市(15215)が長岡市(15202)に編入"
"15216","新潟県","","","糸魚川市","いといがわし","2005-03-19","糸魚川市(15216)、能生町(15562)、青海町(15563)が合併し、糸魚川市を新設
西頸城郡(15560)の廃止"
"15217","新潟県","","","新井市","あらいし","2005-04-01","妙高高原町(15545)、妙高村(15547)が新井市(15217)に編入
中頸城郡(15540)の廃止"
"15217","新潟県","","","新井市","あらいし","2005-04-01","新井市(15217)が妙高市(15217)に名称変更"
"15217","新潟県","","","妙高市","みょうこうし","2005-04-01","新井市(15217)が妙高市(15217)に名称変更"
"15218","新潟県","","","五泉市","ごせんし","2006-01-01","五泉市(15218)、村松町(15322)が合併し、五泉市を新設
中蒲原郡(15320)の廃止"
"15219","新潟県","","","両津市","りょうつし","2004-03-01","両津市(15219)、相川町(15601)、佐和田町(15602)、金井町(15603)、新穂村(15604)、畑野町(15605)、真野町(15606)、小木町(15607)、羽茂町(15608)、赤泊村(15609)が合併し、佐渡市(15224)を新設
佐渡郡(15600)の廃止"
"15220","新潟県","","","白根市","しろねし","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15221","新潟県","","","豊栄市","とよさかし","1970-11-01","豊栄町(15305)が豊栄市(15221)に市制施行"
"15221","新潟県","","","豊栄市","とよさかし","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15222","新潟県","","","上越市","じょうえつし","1971-04-29","高田市(15203)、直江津市(15214)が合併し、上越市(15222)を新設"
"15222","新潟県","","","上越市","じょうえつし","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15222","新潟県","","","上越市","じょうえつし","2007-04-01","上越市(15222)が特例市に移行"
"15223","新潟県","","","阿賀野市","あがのし","2004-04-01","安田町(15301)、京ヶ瀬村(15302)、水原町(15303)、笹神村(15304)が合併し、阿賀野市(15223)を新設"
"15224","新潟県","","","佐渡市","さどし","2004-03-01","両津市(15219)、相川町(15601)、佐和田町(15602)、金井町(15603)、新穂村(15604)、畑野町(15605)、真野町(15606)、小木町(15607)、羽茂町(15608)、赤泊村(15609)が合併し、佐渡市(15224)を新設
佐渡郡(15600)の廃止"
"15225","新潟県","","","魚沼市","うおぬまし","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15226","新潟県","","","南魚沼市","みなみうおぬまし","2004-11-01","六日町(15463)、大和町(15464)が合併し、南魚沼市(15226)を新設"
"15226","新潟県","","","南魚沼市","みなみうおぬまし","2005-10-01","塩沢町(15462)が南魚沼市(15226)に編入"
"15227","新潟県","","","胎内市","たいないし","2005-09-01","中条町(15310)、黒川村(15311)が合併し、胎内市(15227)を新設"
"15301","新潟県","北蒲原郡","きたかんばらぐん","安田町","やすだまち","2004-04-01","安田町(15301)、京ヶ瀬村(15302)、水原町(15303)、笹神村(15304)が合併し、阿賀野市(15223)を新設"
"15302","新潟県","北蒲原郡","きたかんばらぐん","京ヶ瀬村","きょうがせむら","2004-04-01","安田町(15301)、京ヶ瀬村(15302)、水原町(15303)、笹神村(15304)が合併し、阿賀野市(15223)を新設"
"15303","新潟県","北蒲原郡","きたかんばらぐん","水原町","すいばらまち","2004-04-01","安田町(15301)、京ヶ瀬村(15302)、水原町(15303)、笹神村(15304)が合併し、阿賀野市(15223)を新設"
"15304","新潟県","北蒲原郡","きたかんばらぐん","笹神村","ささかみむら","2004-04-01","安田町(15301)、京ヶ瀬村(15302)、水原町(15303)、笹神村(15304)が合併し、阿賀野市(15223)を新設"
"15305","新潟県","北蒲原郡","きたかんばらぐん","豊栄町","とよさかまち","1970-11-01","豊栄町(15305)が豊栄市(15221)に市制施行"
"15306","新潟県","北蒲原郡","きたかんばらぐん","豊浦町","とようらまち","1973-11-01","豊浦村(15306)が豊浦町(15306)に町制施行"
"15306","新潟県","北蒲原郡","きたかんばらぐん","豊浦村","とようらむら","1973-11-01","豊浦村(15306)が豊浦町(15306)に町制施行"
"15306","新潟県","北蒲原郡","きたかんばらぐん","豊浦町","とようらまち","2003-07-07","豊浦町(15306)が新発田市(15206)に編入"
"15307","新潟県","北蒲原郡","きたかんばらぐん","聖籠村","せいろうむら","1977-08-01","聖籠村(15307)が聖籠町(15307)に町制施行"
"15307","新潟県","北蒲原郡","きたかんばらぐん","聖籠町","せいろうまち","1977-08-01","聖籠村(15307)が聖籠町(15307)に町制施行"
"15308","新潟県","北蒲原郡","きたかんばらぐん","加治川村","かじかわむら","2005-05-01","加治川村(15308)、紫雲寺町(15309)が新発田市(15206)に編入"
"15309","新潟県","北蒲原郡","きたかんばらぐん","紫雲寺町","しうんじまち","2005-05-01","加治川村(15308)、紫雲寺町(15309)が新発田市(15206)に編入"
"15310","新潟県","北蒲原郡","きたかんばらぐん","中条町","なかじょうまち","2005-09-01","中条町(15310)、黒川村(15311)が合併し、胎内市(15227)を新設"
"15311","新潟県","北蒲原郡","きたかんばらぐん","黒川村","くろかわむら","2005-09-01","中条町(15310)、黒川村(15311)が合併し、胎内市(15227)を新設"
"15321","新潟県","中蒲原郡","なかかんばらぐん","小須戸町","こすどまち","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15322","新潟県","中蒲原郡","なかかんばらぐん","村松町","むらまつまち","2006-01-01","五泉市(15218)、村松町(15322)が合併し、五泉市を新設
中蒲原郡(15320)の廃止"
"15323","新潟県","中蒲原郡","なかかんばらぐん","横越町","よこごしまち","1996-11-01","横越村(15323)が横越町(15323)に町制施行"
"15323","新潟県","中蒲原郡","なかかんばらぐん","横越村","よこごしむら","1996-11-01","横越村(15323)が横越町(15323)に町制施行"
"15323","新潟県","中蒲原郡","なかかんばらぐん","横越町","よこごしまち","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15324","新潟県","中蒲原郡","なかかんばらぐん","亀田町","かめだまち","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15341","新潟県","西蒲原郡","にしかんばらぐん","岩室村","いわむろむら","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15343","新潟県","西蒲原郡","にしかんばらぐん","分水町","ぶんすいまち","2006-03-20","燕市(15213)、分水町(15343)、吉田町(15344)が合併し、燕市を新設"
"15344","新潟県","西蒲原郡","にしかんばらぐん","吉田町","よしだまち","2006-03-20","燕市(15213)、分水町(15343)、吉田町(15344)が合併し、燕市を新設"
"15345","新潟県","西蒲原郡","にしかんばらぐん","巻町","まきまち","2005-10-10","巻町(15345)が新潟市(15201)に編入"
"15346","新潟県","西蒲原郡","にしかんばらぐん","西川町","にしかわまち","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15347","新潟県","西蒲原郡","にしかんばらぐん","黒埼町","くろさきまち","1973-02-01","黒埼村(15347)が黒埼町(15347)に町制施行"
"15347","新潟県","西蒲原郡","にしかんばらぐん","黒埼村","くろさきむら","1973-02-01","黒埼村(15347)が黒埼町(15347)に町制施行"
"15347","新潟県","西蒲原郡","にしかんばらぐん","黒埼町","くろさきまち","2001-01-01","黒埼町(15347)が新潟市(15201)に編入"
"15348","新潟県","西蒲原郡","にしかんばらぐん","味方村","あじかたむら","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15349","新潟県","西蒲原郡","にしかんばらぐん","潟東村","かたひがしむら","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15350","新潟県","西蒲原郡","にしかんばらぐん","月潟村","つきがたむら","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15351","新潟県","西蒲原郡","にしかんばらぐん","中之口村","なかのくちむら","2005-03-21","白根市(15220)、豊栄市(15221)、小須戸町(15321)、横越町(15323)、亀田町(15324)、岩室村(15341)、西川町(15346)、味方村(15348)、潟東村(15349)、月潟村(15350)、中之口村(15351)が新潟市(15201)に編入"
"15361","新潟県","南蒲原郡","みなみかんばらぐん","田上町","たがみまち","1973-08-01","田上村(15361)が田上町(15361)に町制施行"
"15361","新潟県","南蒲原郡","みなみかんばらぐん","田上村","たがみむら","1973-08-01","田上村(15361)が田上町(15361)に町制施行"
"15362","新潟県","南蒲原郡","みなみかんばらぐん","下田村","しただむら","2005-05-01","三条市(15204)、下田村(15362)、栄町(15363)が合併し、三条市を新設"
"15363","新潟県","南蒲原郡","みなみかんばらぐん","栄村","さかえむら","1981-10-01","栄村(15363)が栄町(15363)に町制施行"
"15363","新潟県","南蒲原郡","みなみかんばらぐん","栄町","さかえまち","1981-10-01","栄村(15363)が栄町(15363)に町制施行"
"15363","新潟県","南蒲原郡","みなみかんばらぐん","栄町","さかえまち","2005-05-01","三条市(15204)、下田村(15362)、栄町(15363)が合併し、三条市を新設"
"15364","新潟県","南蒲原郡","みなみかんばらぐん","中之島町","なかのしままち","1986-10-01","中之島村(15364)が中之島町(15364)に町制施行"
"15364","新潟県","南蒲原郡","みなみかんばらぐん","中之島村","なかのしまむら","1986-10-01","中之島村(15364)が中之島町(15364)に町制施行"
"15364","新潟県","南蒲原郡","みなみかんばらぐん","中之島町","なかのしままち","2005-04-01","中之島町(15364)、越路町(15401)、三島町(15402)、山古志村(15421)、小国町(15502)が長岡市(15202)に編入
古志郡(15420)の廃止"
"15381","新潟県","東蒲原郡","ひがしかんばらぐん","津川町","つがわまち","2005-04-01","津川町(15381)、鹿瀬町(15382)、上川村(15383)、三川村(15384)が合併し、阿賀町(15385)を新設"
"15382","新潟県","東蒲原郡","ひがしかんばらぐん","鹿瀬町","かのせまち","2005-04-01","津川町(15381)、鹿瀬町(15382)、上川村(15383)、三川村(15384)が合併し、阿賀町(15385)を新設"
"15383","新潟県","東蒲原郡","ひがしかんばらぐん","上川村","かみかわむら","2005-04-01","津川町(15381)、鹿瀬町(15382)、上川村(15383)、三川村(15384)が合併し、阿賀町(15385)を新設"
"15384","新潟県","東蒲原郡","ひがしかんばらぐん","三川村","みかわむら","2005-04-01","津川町(15381)、鹿瀬町(15382)、上川村(15383)、三川村(15384)が合併し、阿賀町(15385)を新設"
"15385","新潟県","東蒲原郡","ひがしかんばらぐん","阿賀町","あがまち","2005-04-01","津川町(15381)、鹿瀬町(15382)、上川村(15383)、三川村(15384)が合併し、阿賀町(15385)を新設"
"15401","新潟県","三島郡","さんとうぐん","越路町","こしじまち","2005-04-01","中之島町(15364)、越路町(15401)、三島町(15402)、山古志村(15421)、小国町(15502)が長岡市(15202)に編入
古志郡(15420)の廃止"
"15402","新潟県","三島郡","さんとうぐん","三島町","みしままち","2005-04-01","中之島町(15364)、越路町(15401)、三島町(15402)、山古志村(15421)、小国町(15502)が長岡市(15202)に編入
古志郡(15420)の廃止"
"15403","新潟県","三島郡","さんとうぐん","与板町","よいたまち","2006-01-01","与板町(15403)が長岡市(15202)に編入"
"15404","新潟県","三島郡","さんとうぐん","和島村","わしまむら","2006-01-01","和島村(15404)が長岡市(15202)に編入"
"15406","新潟県","三島郡","さんとうぐん","寺泊町","てらどまりまち","2006-01-01","寺泊町(15406)が長岡市(15202)に編入"
"15421","新潟県","古志郡","こしぐん","山古志村","やまこしむら","2005-04-01","中之島町(15364)、越路町(15401)、三島町(15402)、山古志村(15421)、小国町(15502)が長岡市(15202)に編入
古志郡(15420)の廃止"
"15441","新潟県","北魚沼郡","きたうおぬまぐん","川口町","かわぐちまち","2010-03-31","川口町(15441)が長岡市(15202)に編入
北魚沼郡(15440)の廃止"
"15442","新潟県","北魚沼郡","きたうおぬまぐん","堀之内町","ほりのうちまち","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15443","新潟県","北魚沼郡","きたうおぬまぐん","小出町","こいでまち","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15444","新潟県","北魚沼郡","きたうおぬまぐん","湯之谷村","ゆのたにむら","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15445","新潟県","北魚沼郡","きたうおぬまぐん","広神村","ひろかみむら","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15446","新潟県","北魚沼郡","きたうおぬまぐん","守門村","すもんむら","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15447","新潟県","北魚沼郡","きたうおぬまぐん","入広瀬村","いりひろせむら","2004-11-01","堀之内町(15442)、小出町(15443)、湯之谷村(15444)、広神村(15445)、守門村(15446)、入広瀬村(15447)が合併し、魚沼市(15225)を新設"
"15462","新潟県","南魚沼郡","みなみうおぬまぐん","塩沢町","しおざわまち","2005-10-01","塩沢町(15462)が南魚沼市(15226)に編入"
"15463","新潟県","南魚沼郡","みなみうおぬまぐん","六日町","むいかまち","2004-11-01","六日町(15463)、大和町(15464)が合併し、南魚沼市(15226)を新設"
"15464","新潟県","南魚沼郡","みなみうおぬまぐん","大和町","やまとまち","2004-11-01","六日町(15463)、大和町(15464)が合併し、南魚沼市(15226)を新設"
"15481","新潟県","中魚沼郡","なかうおぬまぐん","川西町","かわにしまち","2005-04-01","十日町市(15210)、川西町(15481)、中里村(15483)、松代町(15523)、松之山町(15524)が合併し、十日町市を新設
東頸城郡(15520)の廃止"
"15483","新潟県","中魚沼郡","なかうおぬまぐん","中里村","なかさとむら","2005-04-01","十日町市(15210)、川西町(15481)、中里村(15483)、松代町(15523)、松之山町(15524)が合併し、十日町市を新設
東頸城郡(15520)の廃止"
"15501","新潟県","刈羽郡","かりわぐん","高柳町","たかやなぎまち","2005-05-01","高柳町(15501)、西山町(15505)が柏崎市(15205)に編入"
"15502","新潟県","刈羽郡","かりわぐん","小国町","おぐにまち","2005-04-01","中之島町(15364)、越路町(15401)、三島町(15402)、山古志村(15421)、小国町(15502)が長岡市(15202)に編入
古志郡(15420)の廃止"
"15503","新潟県","刈羽郡","かりわぐん","北条町","きたじょうまち","1971-05-01","北条町(15503)が柏崎市(15205)に編入"
"15505","新潟県","刈羽郡","かりわぐん","西山町","にしやままち","2005-05-01","高柳町(15501)、西山町(15505)が柏崎市(15205)に編入"
"15521","新潟県","東頸城郡","ひがしくびきぐん","安塚町","やすづかまち","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15522","新潟県","東頸城郡","ひがしくびきぐん","浦川原村","うらがわらむら","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15523","新潟県","東頸城郡","ひがしくびきぐん","松代町","まつだいまち","2005-04-01","十日町市(15210)、川西町(15481)、中里村(15483)、松代町(15523)、松之山町(15524)が合併し、十日町市を新設
東頸城郡(15520)の廃止"
"15524","新潟県","東頸城郡","ひがしくびきぐん","松之山町","まつのやままち","2005-04-01","十日町市(15210)、川西町(15481)、中里村(15483)、松代町(15523)、松之山町(15524)が合併し、十日町市を新設
東頸城郡(15520)の廃止"
"15525","新潟県","東頸城郡","ひがしくびきぐん","大島村","おおしまむら","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15526","新潟県","東頸城郡","ひがしくびきぐん","牧村","まきむら","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15541","新潟県","中頸城郡","なかくびきぐん","柿崎町","かきざきまち","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15542","新潟県","中頸城郡","なかくびきぐん","大潟町","おおがたまち","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
"15543","新潟県","中頸城郡","なかくびきぐん","頸城村","くびきむら","2005-01-01","安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入"
